"country","Area Agricola (1000ha)","Area com plantio (PC)","Nutrient nitrogen N (total) por area de plantio","Prod. wood fuel","PIB plantio PC"
"Philippines",12614,0.1042,58.46,11488099,97.52
"Poland",14512,0.2996,87.49,5358506,93.35
"Portugal",3709.9578,0.1674,59.02,1287232,102.51
"Qatar",74,0.0086,62.5,5116,106.37
"Republic of Korea",1652,0.0312,135.43,337000,95.8
"Republic of Moldova",2257.1,0.4729,33.27,1220645,134.61
"Romania",13414,0.4679,51.35,5553105,134.86
"Russian Federation",215494,0.847,12.49,16431453,102.89
"Rwanda",1811.7,0.1139,5.39,5e+06,104.25
"Saint Lucia",9.94,0.0526,13.81,9491,102.86
"Samoa",55.17,0.2414,0.43,70000,78.95
"Saudi Arabia",173595.9169,0.1067,49.56,301220,130.74
"Senegal",8878,0.2068,11.05,5597996,153.41
"Serbia",3487,0.3167,41.66,6533000,108.46
"Seychelles",1.55,0.016,30.16,3160,99.24
"Slovakia",1889,0.2503,94.49,523620,96.4
"Slovenia",612,0.1135,115.77,1118134,100.17
"South Africa",96341,0.2148,30.69,12025764,108.56
"Spain",26183.3239,0.3592,61.63,3506321,120.58
"Sri Lanka",2811.6,0.1117,29.02,4603151,98.23
"Sudan",69405.84,0.5074,7.69,15526000,119.48
"Suriname",84,0.1181,102.66,88000,92.93
"Sweden",3000.39,0.2552,72.37,5466000,62.16
"Switzerland",1510.0756,0.0497,105.23,1735930,104.53
"Syrian Arab Republic",13921,0.3383,0.94,34785,107.49
"Tajikistan",4911.6,0.1139,7.66,3674000,111.37
"Thailand",22810,0.317,68.87,18515705,105.08
"Togo",3820,0.3575,7.34,4424000,101.22
"Tonga",35,0.3004,2.05,2070,96.94
"Trinidad and Tobago",54,0.0338,138.3,30459,103.76
"Tunisia",9700.5,0.4281,17.35,3610000,115.29
"Turkmenistan",33838,0.3418,190.72,10000,88.95
"Uganda",14415,0.213,1.23,43730965,93.68
"Ukraine",41329,0.7628,41.62,10719700,112.41
"United Arab Emirates",381.75,0.0085,185.28,18847,96.77
"United Kingdom of Great Britain and Northern Ireland",17350.8616,0.0906,169.79,2478300,89.65
"United Republic of Tanzania",39097.4,0.2681,9.39,24816399,93.59
"United States of America",405810.3538,0.4905,72.47,71608562,97.96
"Uruguay",14190.8,0.6351,78.95,2566120,64.7
"Uzbekistan",25520.3,0.136,163.27,24000,85.26
"Venezuela (Bolivarian Republic of)",21500,0.1142,43.12,4304326,84.9
"Viet Nam",12140.5,0.1203,136.79,2e+07,101.64
"Yemen",23452,0.0509,2.49,573954,81.68
"Zambia",23836,0.2211,38.58,23033000,107.42
"Zimbabwe",16200,0.284,12.22,9296849,127.59
"World",4749674.2016,0.2047,69.68,1945449851,101.58
"Africa",1122452.4262,0.22,15.61,700071542,102.87
"Eastern Africa",332841.582,0.1827,14.52,309645427,100.85
"Middle Africa",168640.21,0.2175,2.71,114089416,95.29
"Northern Africa",175207.9942,0.2112,35.73,53310515,102.67
"Southern Africa",164667.9,0.2146,30.7,18256010,108.35
"Western Africa",281094.74,0.2688,8.27,204770174,106.06
"Americas",1123304.1735,0.3665,64.78,339979307,100.66
"Northern America",464257.7638,0.5471,72.23,72782918,98.7
"Central America",114291.2,0.1727,60.99,82452177,106.72
"Caribbean",11426.75,0.1528,27.8,4860191,99.03
"South America",533328.4597,0.3131,55.87,179884021,101.65
"Asia",1670904.1176,0.1296,108.1,718512014,102.48
"Central Asia",290676.8,0.5371,31.44,3955600,97.02
"Eastern Asia",650607.7,0.0874,199.85,176427564,102.64
"Southern Asia",318047.864,0.1266,97.42,382278164,103.25
"South-eastern Asia",139734.76,0.1872,64.15,146286844,103.68
"Western Asia",271836.9936,0.1626,50.97,9563842,100.23
"Europe",461385.5343,0.3862,50.4,176904647,101.04
"Eastern Europe",311197.1,0.6721,31.01,62076520,105.85
"Northern Europe",38645.2366,0.1791,109.33,28398323,80.48
"Southern Europe",58762.3631,0.243,61.1,29584075,108.26
"Western Europe",52780.8346,0.1791,117.03,56845729,90.37
"Oceania",371627.95,0.8057,44.75,9982341,98.8
"Australia and New Zealand",369394,1.076,45.39,4090959,99.42
"Melanesia",1991.53,0.131,30.69,5808608,95.93
"Micronesia",85.84,0.1345,0,6012,103.2
"Polynesia",156.58,0.1829,3.1,76762,90.02
"European Union (27)",163700.6178,0.2495,87.45,120643766,99.11
"Least Developed Countries",783790.012,0.2027,17.37,572670613,101.2
"Land Locked Developing Countries",828322.24,0.2937,20,298975012,100.69
"Small Island Developing States",16676.07,0.1403,31.59,15450351,97.96
"Low Income Food Deficit Countries",1032633.426,0.1575,59.24,932177664,104.33
"Net Food Importing Developing Countries",1159334.5882,0.1833,33.75,703200300,100.13
